year,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,pontos,saldo_gols,aproveitamento_pct
1914,2,1,0,1,1,3,3,-2,50.0
1916,4,1,2,1,4,4,5,0,41.7
1917,4,1,0,3,8,11,3,-3,25.0
1919,5,3,2,0,15,6,11,9,73.3
1920,3,1,0,2,1,8,3,-7,33.3
1921,3,1,0,2,4,3,3,1,33.3
1922,7,4,3,0,12,4,15,8,71.4
1923,6,2,0,4,6,7,6,-1,33.3
1925,4,2,1,1,11,9,7,2,58.3
1930,5,4,0,1,16,8,12,8,80.0
1931,1,1,0,0,2,0,3,2,100.0
1932,1,1,0,0,2,1,3,1,100.0
1934,4,0,1,3,8,15,1,-7,8.3
1936,1,1,0,0,3,2,3,1,100.0
1937,5,3,0,2,14,9,9,5,60.0
1938,5,3,1,1,14,11,10,3,66.7
1939,2,1,0,1,4,7,3,-3,50.0
1940,7,1,2,4,11,23,5,-12,23.8
1942,6,3,1,2,15,7,10,8,55.6
1944,2,2,0,0,10,1,6,9,100.0
1945,9,7,0,2,31,12,21,19,77.8
1946,6,3,1,2,16,11,10,5,55.6
1947,2,1,1,0,3,2,4,1,66.7
1948,2,0,1,1,3,5,1,-2,16.7
1949,8,7,0,1,46,7,21,39,87.5
1950,10,6,2,2,33,15,20,18,66.7
1952,5,4,1,0,14,2,13,12,86.7
1953,7,4,0,3,17,9,12,8,57.1
1954,7,5,1,1,16,6,16,10,76.2
1955,4,2,2,0,9,5,8,4,66.7
1956,24,14,6,4,41,24,48,17,66.7
1957,14,8,2,4,34,15,26,19,61.9
1958,10,8,2,0,28,6,26,22,86.7
1959,14,10,2,2,36,18,32,18,76.2
1960,16,11,1,4,42,20,34,22,70.8
1961,5,5,0,0,11,5,15,6,100.0
1962,12,11,1,0,33,8,34,25,94.4
1963,18,7,3,8,34,34,24,0,44.4
1964,3,2,0,1,9,5,6,4,66.7
1965,10,7,3,0,25,6,24,19,80.0
1966,17,11,3,3,33,19,36,14,70.6
1967,4,1,3,0,4,3,6,1,50.0
1968,20,13,2,5,52,27,41,25,68.3
1969,9,9,0,0,30,6,27,24,100.0
1970,14,12,1,1,36,13,37,23,88.1
1971,6,2,4,0,8,6,10,2,55.6
1972,5,4,1,0,8,2,13,6,86.7
1973,10,7,1,2,19,8,22,11,73.3
1974,16,9,5,2,19,6,32,13,66.7
1975,7,6,0,1,18,5,18,13,85.7
1976,10,9,1,0,22,6,28,16,93.3
1977,13,7,6,0,26,5,27,21,69.2
1978,12,7,4,1,17,5,25,12,69.4
1979,8,4,2,2,21,10,14,11,58.3
1980,8,6,1,1,17,5,19,12,79.2
1981,16,12,3,1,36,10,39,26,81.2
1982,11,8,2,1,31,10,26,21,78.8
1983,14,5,7,2,21,12,22,9,52.4
1984,3,1,1,1,1,2,4,-1,44.4
1985,11,6,2,3,16,9,20,7,60.6
1986,12,8,2,2,25,9,26,16,72.2
1987,10,6,2,2,22,11,20,11,66.7
1988,7,5,2,0,12,3,17,9,81.0
1989,23,15,5,3,39,11,50,28,72.5
1990,10,4,3,3,9,10,15,-1,50.0
1991,14,7,4,3,25,16,25,9,59.5
1992,10,7,1,2,23,8,22,15,73.3
1993,21,9,9,3,40,18,36,22,57.1
1994,13,10,3,0,31,6,33,25,84.6
1995,18,15,3,0,39,9,48,30,88.9
1996,11,8,2,1,31,12,26,19,78.8
1997,24,20,3,1,71,19,63,52,87.5
1998,18,10,4,4,36,17,34,19,63.0
1999,20,14,3,3,51,18,45,33,75.0
2000,13,8,3,2,32,10,27,22,69.2
2001,20,8,4,8,28,19,28,9,46.7
2002,16,14,1,1,43,10,43,33,89.6
2003,17,8,5,4,21,14,29,7,56.9
2004,19,9,8,2,41,16,35,25,61.4
2005,16,10,4,2,47,14,34,33,70.8
2006,12,10,1,1,25,5,31,20,86.1
2007,18,11,5,2,38,13,38,25,70.4
2008,11,6,3,2,18,8,21,10,63.6
2009,17,14,2,1,38,12,44,26,86.3
2010,12,9,1,2,26,6,28,20,77.8
2011,16,9,5,2,21,9,32,12,66.7
2012,13,9,1,3,38,13,28,25,71.8
2013,19,13,4,2,49,15,43,34,75.4
2014,15,11,2,2,34,15,35,19,77.8
2015,14,10,2,2,24,10,32,14,76.2
2016,11,7,3,1,28,7,24,21,72.7
2017,11,7,3,1,21,4,24,17,72.7
2018,15,13,1,1,29,3,40,26,88.9
2019,16,8,6,2,33,9,30,24,62.5
2020,4,4,0,0,12,2,12,10,100.0
2021,16,12,3,1,27,5,39,22,81.2
2022,13,10,2,1,35,6,32,29,82.1
2023,9,3,1,5,15,14,10,1,37.0
2024,14,6,7,1,22,12,25,10,59.5
2025,10,5,2,3,17,10,17,7,56.7
2026,8,6,1,1,21,8,19,13,79.2
